original_cluster,remapped_cluster,overlap_count,cluster_total,overlap_pct
0,1,13136,27632,47.53908511870295
1,4,13026,14330,90.90020935101187
2,6,13250,26119,50.72935411003484
3,8,4614,15566,29.641526403700375
4,5,148,12093,1.2238485074009757
5,2,22025,44631,49.349107122851834
6,7,16584,30807,53.831921316583895
7,3,13506,17702,76.29646367642074
