variable,mean_error,max_error,std_error,mean_value,std_value,rel_error_pct
ts0270005,0.025667676186421438,0.05321565484597126,0.018330962738899472,0.033447437526471835,0.1296003149981296,76.74033673314096
ts0270004,0.01640123227243406,0.033995328523128254,0.010516545285052085,0.13784934349851757,0.06382881641663299,11.897940067165019
ts0010002,0.012740639320349315,0.03476500439258201,0.009447523704369161,0.9884674078780177,0.059257702371366704,1.288928620084718
ts0010003,0.012530969039311607,0.03461988012107002,0.009453736229342091,0.01153259212198221,0.0592577023713667,108.65700361869554
ts0460012,0.011998977906849293,0.02317001341952314,0.007994645485258096,0.08566624311732317,0.0374855686712701,14.006658247422193
ts0460006,0.011661550723685856,0.043230915821470095,0.014979030045588312,0.035899835874629395,0.11341298408107342,32.483576706062706
ts0270002,0.009876245903293439,0.018350327885924833,0.0047406001275535235,0.5450545266836087,0.11436907854509631,1.8119739255053224
ts0270003,0.009217493101393567,0.019235654158916066,0.005454724226045365,0.15357593710292247,0.0704193714430074,6.001912327721139
ts0560002,0.009127223076273464,0.02585586056652489,0.009705518574245996,0.950107131512071,0.061004076122273765,0.9606519910810187
ts0560003,0.007441403412837697,0.019798686197784604,0.007694952486572631,0.03783079203727235,0.051795468093814134,19.670228964559193
ts0300003,0.006610559176147744,0.016233002699331367,0.004482296972267281,0.469450206480305,0.12093675261538053,1.4081491678766742
ts0610003,0.006135716741867071,0.023244497364357408,0.00819000263769284,0.01627648771706904,0.042226228688132604,37.696810568244324
ts0440006,0.006047121688370539,0.011914897325413225,0.003534674691881313,0.03370988458280389,0.08590778849540945,17.938719646211133
ts0540006,0.005879974405394183,0.014207024555770581,0.0038113457951353593,0.009329209021601018,0.028998300034449136,63.027577062316695
ts0440005,0.00587162329930245,0.01070604522029428,0.0030872732562393923,0.1628092757306226,0.24282719040635115,3.6064427367255116
ts0540005,0.005826806829423891,0.013994479980436986,0.0037569999602891247,0.009329209021601018,0.028998300034449136,62.45767262725488
ts0630009,0.0057256735956978996,0.013819564669747264,0.004127302581885259,0.07224310144006778,0.04670421402351096,7.925564492061386
ts0300007,0.005677785688013909,0.011801151340162429,0.0027082267979626675,0.05665086298178738,0.11762357133854535,10.0224169397724
ts0400003,0.0056312806447252756,0.01113176802315119,0.0030781321080845373,0.25661197056332063,0.07503393733182218,2.194473091946317
ts0670006,0.005566038860777653,0.009523793724861285,0.00298376789523399,0.16512148983481575,0.05516557949119092,3.370874903288365
ts0210006,0.005505158568446848,0.01024334964210337,0.002651860585144899,0.02233417513765354,0.07130280087623452,24.649034649887806
ts0460005,0.005290547549344756,0.01676262866410253,0.006087645587096963,0.08258347628123676,0.12265721974168413,6.406302795159504
ts0460010,0.005273440751646142,0.016721088457548508,0.006422445320292936,0.008714188903007201,0.041150615914035335,60.51556616848548
ts0210005,0.005219756143550863,0.008985787636348073,0.002813855763841164,0.027898522871664548,0.06502710836801812,18.709793947020643
ts0400004,0.00520049115574363,0.009800814709288702,0.0029964152092328,0.06803078144853876,0.03601526631515172,7.644320769235162
ts0460003,0.005181667820131491,0.015318244130216874,0.0052205281131264426,0.7398459921643372,0.21794999697650538,0.7003711414281096
ts0750005,0.005176187443843083,0.014143667516298225,0.0045260010438142,0.20307646653960185,0.08438128723168502,2.5488859108318573
ts0210002,0.005090115203704337,0.008330303824399143,0.0020484311164006164,0.08181295002117747,0.13588641087125353,6.221649753965294
ts0030004,0.0050132085918614434,0.008477170376128662,0.0022453670685348395,0.17041758788648878,0.10383026250155462,2.9417201909937996
ts0610005,0.004992039815861129,0.012740070229918979,0.004674177954118401,0.04315648559932232,0.051564066944252224,11.567299205520845
ts0630007,0.004977217370463364,0.011621825515080397,0.0031736622174340368,0.09694416031342652,0.04415089574983283,5.134107463896442
ts0590003,0.004864061795370446,0.0067122398536553635,0.001487841301944332,0.10462343286742905,0.04441313750694829,4.649113169067793
ts0590004,0.004755856771088016,0.00734569244680755,0.001426067990393662,0.19998283566285474,0.05453397391757498,2.378132480882398
ts0630002,0.004728706832120514,0.009770698741625852,0.0025401652855111373,0.12512702774248202,0.06604346306781447,3.779125035921448
ts0030003,0.004688320634725483,0.008788858931219695,0.0026355370247600233,0.1293958703939009,0.07855616241637098,3.623238222714152
ts0210009,0.004594661357712403,0.014196870688256036,0.003909153346589748,0.023074195256247352,0.04779288614480863,19.912552991283178
ts0020013,0.004560177917722166,0.013986468211386258,0.004561799544405335,0.09431160525201186,0.03806752895009898,4.835224578710993
ts0020014,0.004549888430544035,0.013625077325841853,0.0044348797109158246,0.0940592016094875,0.03802176543331292,4.837260313386606
ts0670007,0.004449292362367317,0.009272960911455297,0.0032077193534271495,0.3362836086404066,0.14248743095924493,1.3230773811295145
ts0230003,0.004446108287134015,0.007886678797102809,0.001941111982002109,0.5985514294790343,0.13041624274742392,0.7428114056972194
ts0510008,0.004439346177319706,0.010315242208699206,0.004016674831473937,0.03728046378653113,0.051387685548127324,11.907969285842347
ts0630005,0.0044267135203723725,0.009587860120011601,0.0036226917190586966,0.09223490046590427,0.03380290969108131,4.799391009272851
ts0620002,0.004367684920565485,0.013916880884349891,0.004417471658714708,0.1303436679373147,0.08414525118233515,3.350899195706236
ts0210017,0.004363149510882999,0.005799989051221033,0.0012860963028291333,0.8327855887335874,0.20377474871872325,0.5239223120464918
ts0660006,0.004334100023519888,0.010342177775571337,0.0024915563377418833,0.3425135059296908,0.10041621865142847,1.2653807655717866
ts0660005,0.004333367978499371,0.008679693660706173,0.001982643248450764,0.11954474269377383,0.03289299468048111,3.624892137331158
ts0080003,0.004314330033788311,0.009400338173097378,0.002617085583433316,0.4889738987717068,0.033305528686708344,0.8823231760684622
ts0210018,0.004299728674018385,0.00979652076375348,0.0028311231173474443,0.7609081268530283,0.2440446156780412,0.56507855840642
ts0680003,0.004296455240803812,0.009492166992713713,0.003174234144749016,0.805984678102499,0.08285487555582727,0.5330690964149348
ts0580005,0.004284669455458856,0.006969266766760532,0.001472200091238853,0.10591817026683609,0.059788329682134794,4.045263852901379
ts0460004,0.004282263224030768,0.017865200812561172,0.006545072236900089,0.010521341592545532,0.03197178746333007,40.70073370742749
ts0510007,0.004243616959637198,0.00687629052600891,0.001954983162338344,0.08771511012282932,0.09147081733828995,4.837954320179012
ts0680002,0.004223487979727821,0.009075590130378453,0.003046464186311873,0.19401532189750106,0.08285487555582727,2.1768837318730445
ts0450002,0.004163337345426175,0.008405037259777148,0.0023647431010093644,0.23205446844557392,0.17656321128235225,1.7941207395463898
ts0080002,0.004111583211202988,0.00929682725273051,0.0026596008259950755,0.51102597416349,0.03330557313709597,0.8045742132644689
ts0590007,0.004109125637462782,0.009473579771436508,0.0025795531947907257,0.10859084603981366,0.05161702210548974,3.784044224092532
ts0660028,0.004101920472334961,0.011870058102024753,0.004199661680559855,0.0501930749682338,0.056564455952956894,8.172283676445376
ts0610008,0.004071160343290026,0.006848847416708437,0.002100172160757138,0.45779533566285474,0.15620781714665116,0.8892970343167167
