original_cluster,remapped_cluster,overlap_count,cluster_total,overlap_pct
0,8,4614,15598,29.580715476343123
1,6,13256,26099,50.79121805433159
2,1,13129,27615,47.54300199167119
3,3,13497,17680,76.34049773755656
4,7,16588,30791,53.87288493390926
5,4,13013,14315,90.90464547677261
6,5,148,12092,1.2239497188223618
7,2,22069,44690,49.38241217274558
