OA,pca_cluster,ae_cluster,oac_supergroup
E00000001,1,0,3
E00000003,1,0,3
E00000005,3,3,3
E00000007,3,3,3
E00000010,3,3,3
E00000013,3,3,3
E00000018,3,0,3
E00000019,3,3,3
E00000020,3,3,3
E00000021,3,3,3
E00000022,3,3,3
E00000023,3,3,3
E00000024,3,3,3
E00000025,3,3,3
E00000028,3,3,3
E00000029,3,3,3
E00000030,3,3,3
E00000031,3,3,3
E00000032,3,3,3
E00000037,5,6,4
E00000038,5,6,4
E00000039,3,3,4
E00000040,3,3,4
E00000041,5,6,4
E00000042,3,3,3
E00000043,3,3,3
E00000045,5,6,4
E00000046,3,3,4
E00000048,5,6,4
E00000049,5,6,4
E00000050,5,6,3
E00000051,5,6,4
E00000052,5,6,4
E00000053,5,6,4
E00000054,5,6,4
E00000055,5,6,4
E00000056,5,6,4
E00000057,5,6,4
E00000059,3,3,3
E00000060,5,6,4
E00000061,3,3,4
E00000063,5,6,4
E00000064,5,6,4
E00000066,5,6,4
E00000067,5,6,4
E00000068,5,6,4
E00000069,3,3,4
E00000070,5,6,4
E00000071,5,6,4
E00000072,5,6,4
E00000073,5,6,4
E00000074,5,6,4
E00000075,5,6,4
E00000076,5,6,4
E00000077,5,6,4
E00000078,5,6,4
E00000079,5,6,4
E00000080,5,6,4
E00000081,5,6,4
E00000082,5,6,4
E00000083,5,6,4
E00000084,5,6,4
E00000085,5,6,4
E00000086,5,6,4
E00000087,5,6,4
E00000088,5,6,4
E00000089,5,6,4
E00000090,5,6,4
E00000091,5,6,4
E00000092,5,6,4
E00000093,5,6,4
E00000094,5,6,4
E00000095,5,6,4
E00000096,5,6,4
E00000097,5,6,4
E00000098,5,6,4
E00000099,0,5,3
E00000100,5,6,4
E00000101,5,6,4
E00000102,5,6,4
E00000103,5,6,4
E00000104,5,6,4
E00000106,5,6,4
E00000107,5,6,4
E00000108,5,6,4
E00000109,5,6,4
E00000110,5,6,4
E00000111,5,6,4
E00000112,5,6,4
E00000113,5,6,4
E00000114,5,6,4
E00000115,5,6,4
E00000116,5,6,4
E00000117,3,3,4
E00000118,5,6,4
E00000119,5,6,4
E00000120,5,6,4
E00000121,5,6,4
E00000122,5,6,4
E00000123,5,6,4
E00000124,5,6,4
E00000125,5,6,4
E00000128,5,6,4
E00000129,5,6,4
E00000130,5,6,4
E00000131,3,3,4
E00000132,5,6,4
E00000133,5,6,4
E00000134,5,6,4
E00000135,5,6,4
E00000136,5,6,4
E00000137,5,6,4
E00000138,5,6,4
E00000139,5,6,4
E00000140,5,6,4
E00000141,3,3,4
E00000142,0,5,3
E00000143,5,6,4
E00000144,5,6,4
E00000145,5,6,4
