Metric,PCA,AE,Better,Winner
WSSC/Inertia,211990.74856674153,147024.57460277446,Lower,AE
Silhouette Score,0.12645375671969789,0.11103980515574591,Higher,PCA
Davies-Bouldin,1.8575634129591791,1.999900203855609,Lower,PCA
Calinski-Harabasz,27031.299183259864,27466.78993846916,Higher,AE
