original_cluster,remapped_cluster,overlap_count,cluster_total,overlap_pct
0,5,8866,25001,35.46258149674013
1,4,12035,13144,91.5626902008521
2,8,4516,14285,31.613580679033955
3,1,11569,23120,50.03892733564014
4,2,20862,42422,49.177313658007634
5,3,12105,16034,75.49582137956841
6,6,11562,22528,51.32279829545454
7,7,16393,32346,50.680145922216035
