Cluster,PCA_RMSE,AE_RMSE,PCA_Corr,AE_Corr
0,0.00015427151280916721,0.0022804606007651436,0.9999997849510067,0.9999543651182202
1,0.0003907522759094084,0.0027430830573802363,0.9999978577384071,0.9999008057203418
2,0.00023048460592872032,0.003537976514894456,0.9999994212779304,0.9998641862217652
3,0.00037931497683863267,0.0038969565552109753,0.9999983588007723,0.999858323975307
4,0.00024528948258575043,0.002809735458501163,0.999999429841625,0.9999257741390929
5,0.0001618101825420543,0.005127566865854942,0.9999997508506222,0.9996643561173532
6,0.00024890168808021037,0.0032395451820475085,0.9999993284910599,0.9998878421970806
7,0.00035273667864705205,0.0036514107682174913,0.9999983310892604,0.9998583283425476
