OA,pca_cluster,ae_cluster,oac_supergroup
E00000325,1,1,4
E00000326,1,1,4
E00000327,7,5,3
E00000328,7,5,3
E00000329,7,5,3
E00000330,3,2,3
E00000331,1,1,4
E00000332,1,1,4
E00000333,1,1,4
E00000334,1,1,4
E00000335,1,1,4
E00000336,1,1,4
E00000337,1,1,4
E00000338,1,1,4
E00000340,1,1,4
E00000341,1,1,4
E00000342,1,1,4
E00000343,1,1,4
E00000344,1,1,4
E00000345,1,1,4
E00000346,1,1,4
E00000347,1,1,4
E00000348,1,1,4
E00000349,1,1,4
E00000350,1,1,4
E00000351,1,1,4
E00000353,1,1,4
E00000354,1,1,4
E00000355,1,1,4
E00000356,1,1,4
E00000357,1,1,4
E00000358,7,5,3
E00000360,1,1,4
E00000361,1,1,4
E00000362,1,1,4
E00000363,6,1,4
E00000364,3,2,4
E00000365,1,1,4
E00000366,1,1,4
E00000367,1,1,4
E00000368,1,1,4
E00000369,1,1,4
E00000370,1,1,4
E00000371,1,1,4
E00000372,1,1,4
E00000373,1,1,4
E00000374,6,7,4
E00000375,1,1,4
E00000376,1,1,4
E00000377,1,1,4
E00000378,7,5,4
E00000379,1,1,4
E00000380,1,1,4
E00000381,1,1,4
E00000382,1,1,4
E00000383,1,1,4
E00000384,1,1,4
E00000385,1,1,4
E00000386,1,1,4
E00000387,1,1,4
E00000388,7,5,4
E00000389,1,1,4
E00000390,1,1,4
E00000391,1,1,4
E00000392,1,1,4
E00000393,1,1,4
E00000394,1,1,4
E00000395,1,1,4
E00000396,1,1,4
E00000397,1,1,4
E00000398,1,1,4
E00000399,1,1,4
E00000400,1,1,4
E00000401,1,1,4
E00000402,1,1,4
E00000403,1,1,4
E00000404,1,1,4
E00000405,1,1,4
E00000406,1,1,4
E00000407,1,1,4
E00000408,1,1,4
E00000409,1,1,4
E00000410,1,1,4
E00000411,1,1,4
E00000412,7,5,4
E00000413,1,1,4
E00000414,1,1,4
E00000415,1,1,4
E00000416,7,6,4
E00000417,1,1,4
E00000418,1,1,4
E00000419,1,1,4
E00000420,1,1,4
E00000421,1,1,4
E00000422,1,1,4
E00000423,1,1,4
E00000424,1,1,4
E00000425,1,1,4
E00000426,1,1,4
E00000427,1,1,4
E00000428,1,1,4
E00000429,1,1,4
E00000430,1,1,4
E00000431,1,1,4
E00000432,1,1,4
E00000433,1,1,4
E00000434,1,1,4
E00000435,1,1,4
E00000436,1,1,4
E00000437,1,1,4
E00000438,1,1,4
E00000439,1,1,4
E00000440,1,1,4
E00000441,1,1,4
E00000442,1,1,4
E00000443,1,1,4
E00000444,1,1,4
E00000445,1,1,4
E00000446,1,1,4
E00000447,7,5,4
E00000448,1,6,4
E00000449,1,1,4
E00000450,1,1,4
E00000451,1,1,4
E00000453,1,1,4
E00000454,7,5,4
E00000455,1,1,4
E00000456,7,5,4
E00000457,7,5,4
E00000461,1,1,4
E00000462,1,1,4
E00000463,6,7,4
E00000464,1,1,4
E00000465,1,1,4
E00000466,1,1,4
E00000467,1,1,4
E00000468,1,1,4
E00000469,1,1,4
E00000470,1,1,4
E00000471,1,1,4
E00000472,7,5,4
E00000475,1,1,4
E00000476,7,5,4
E00000477,7,5,4
E00000478,1,1,4
E00000479,7,5,4
E00000480,7,5,4
E00000481,1,1,4
E00000482,1,1,4
E00000483,1,1,4
E00000484,1,1,4
E00000485,1,1,4
E00000487,1,1,4
E00000488,1,1,4
E00000489,1,1,4
E00000490,1,1,4
E00000491,1,1,4
E00000492,1,1,4
E00000493,1,1,4
E00000494,1,1,4
E00000495,1,1,4
E00000496,1,1,4
E00000497,1,1,4
E00000498,1,7,4
E00000499,1,1,4
E00000500,1,1,4
E00000501,1,1,4
E00000502,1,1,4
E00000503,1,1,4
E00000504,1,1,4
E00000505,1,1,4
E00000506,1,1,4
E00000507,1,6,4
E00000508,1,1,4
E00000509,1,1,4
E00000510,7,5,4
E00000511,7,5,3
E00000512,1,1,4
E00000513,1,6,4
E00000514,1,1,4
E00000515,7,5,3
E00000516,7,5,4
E00000517,1,1,4
E00000518,1,1,4
E00000519,1,6,4
E00000520,1,1,4
E00000521,1,1,4
E00000522,7,5,4
E00000523,1,1,4
E00000524,7,5,4
E00000525,7,5,4
E00000526,1,1,4
E00000527,1,1,4
E00000528,1,1,4
E00000529,1,1,4
E00000530,1,1,4
E00000531,7,5,4
E00000532,1,1,4
E00000533,3,2,4
E00000534,1,1,4
E00000535,1,1,4
E00000536,1,1,4
E00000537,1,1,4
E00000538,1,1,4
E00000539,1,1,4
E00000540,1,6,4
E00000541,7,5,4
E00000542,7,5,3
E00000543,1,1,4
E00000544,1,1,4
E00000545,1,1,4
E00000547,1,1,4
E00000548,1,1,4
E00000549,7,5,4
E00000550,1,1,4
E00000551,7,5,4
E00000552,1,1,4
E00000553,1,1,4
E00000554,1,1,4
E00000555,1,1,4
E00000556,1,1,4
E00000557,1,1,4
E00000558,1,1,4
E00000559,1,1,4
E00000560,1,1,4
E00000561,1,1,4
E00000562,1,1,4
E00000563,3,2,4
E00000564,1,1,4
E00000565,1,1,4
E00000566,7,5,4
E00000567,1,1,4
E00000568,1,5,4
E00000569,1,1,4
E00000570,1,1,4
E00000571,1,1,4
E00000572,1,1,4
E00000573,1,1,4
E00000574,1,1,4
E00000575,1,1,4
E00000576,0,0,5
E00000577,7,5,4
E00000578,1,1,5
E00000579,2,6,4
E00000580,0,0,5
E00000581,2,6,5
E00000583,2,6,4
E00000584,2,6,5
E00000585,0,0,5
E00000586,5,4,5
E00000587,2,0,5
E00000588,1,1,4
E00000589,2,6,5
E00000590,1,1,4
E00000591,1,6,5
E00000592,2,6,4
E00000593,5,0,5
E00000594,5,4,5
E00000595,3,1,4
E00000596,1,6,5
E00000597,1,1,4
E00000598,1,6,5
E00000599,7,5,4
E00000600,2,6,5
E00000601,0,0,5
E00000602,2,6,6
E00000603,2,6,4
E00000604,7,6,4
E00000605,1,1,4
E00000606,1,5,4
E00000607,7,5,4
E00000608,1,6,4
E00000609,7,5,3
E00000610,0,0,5
E00000611,0,0,5
E00000612,2,0,5
E00000613,0,0,5
E00000614,0,0,5
E00000615,5,0,5
E00000616,1,1,4
E00000617,2,6,6
E00000618,2,6,6
E00000619,0,0,5
E00000620,0,0,5
E00000622,7,5,4
E00000624,1,1,4
E00000625,1,1,4
E00000626,7,5,4
E00000627,1,5,3
E00000628,1,1,4
E00000629,1,1,5
E00000630,1,1,4
E00000631,1,1,4
E00000632,1,1,4
E00000633,1,1,4
E00000634,1,1,4
E00000635,1,1,4
E00000636,1,1,4
E00000637,1,1,4
E00000638,1,1,4
E00000640,1,1,4
E00000641,1,1,4
E00000642,1,1,4
E00000643,1,1,4
E00000644,1,1,4
E00000645,1,1,4
E00000646,1,1,4
E00000647,1,1,4
E00000648,1,1,4
E00000649,7,5,4
E00000650,1,1,4
E00000651,1,1,4
E00000652,7,5,3
E00000653,1,1,4
E00000654,1,1,4
E00000655,7,5,4
E00000656,1,1,4
E00000657,1,1,4
E00000658,1,1,4
E00000659,1,5,4
E00000660,1,1,4
E00000661,1,1,4
E00000662,1,1,4
E00000663,7,5,4
E00000664,7,5,4
E00000666,1,5,4
E00000667,1,1,4
E00000668,1,1,4
E00000669,7,5,4
E00000670,1,1,4
E00000671,7,5,3
E00000672,1,6,4
E00000674,0,6,5
E00000675,7,5,3
E00000676,2,6,3
E00000677,7,5,3
E00000678,7,5,3
E00000679,7,5,3
E00000681,7,5,3
E00000682,1,1,4
E00000683,1,1,4
E00000684,7,5,4
E00000685,7,5,3
E00000686,7,5,4
E00000687,7,5,4
E00000688,7,5,3
E00000689,1,1,4
E00000690,2,6,5
E00000691,7,5,3
E00000692,1,1,4
E00000693,7,5,3
E00000694,7,5,3
E00000695,1,1,5
E00000697,0,0,5
E00000698,7,5,4
E00000699,7,6,3
